Time: 1638891477.726116. Hostname: gpu05. MPI rank: 1. Process ID: 152857. 
Time: 1638891756.257569. Hostname: gpu01. MPI rank: 0. Process ID: 55687. 
numElements=100, AvgDtime=0.000032, Min=0.000006, Max=0.000032, Perc95=0.000008, Variance=-0.000025, StdDev=0.004970, ElementsSec=12336188.235294, GBytesSec=0.091912
numElements=200, AvgDtime=0.000039, Min=0.000007, Max=0.000056, Perc95=0.000009, Variance=-0.000031, StdDev=0.005573, ElementsSec=22075284.210526, GBytesSec=0.164474
numElements=300, AvgDtime=0.000054, Min=0.000008, Max=0.000056, Perc95=0.000009, Variance=-0.000045, StdDev=0.006730, ElementsSec=33112926.315789, GBytesSec=0.246711
numElements=400, AvgDtime=0.000023, Min=0.000009, Max=0.000026, Perc95=0.000010, Variance=-0.000013, StdDev=0.003629, ElementsSec=39945752.380952, GBytesSec=0.297619
numElements=500, AvgDtime=0.000052, Min=0.000009, Max=0.000057, Perc95=0.000011, Variance=-0.000042, StdDev=0.006459, ElementsSec=44620255.319149, GBytesSec=0.332447
numElements=600, AvgDtime=0.000037, Min=0.000010, Max=0.000058, Perc95=0.000015, Variance=-0.000025, StdDev=0.005030, ElementsSec=39945752.380952, GBytesSec=0.297619
numElements=700, AvgDtime=0.000051, Min=0.000011, Max=0.000058, Perc95=0.000016, Variance=-0.000038, StdDev=0.006151, ElementsSec=43821086.567164, GBytesSec=0.326493
numElements=800, AvgDtime=0.000020, Min=0.000012, Max=0.000022, Perc95=0.000017, Variance=-0.000006, StdDev=0.002463, ElementsSec=47259763.380282, GBytesSec=0.352113
numElements=900, AvgDtime=0.000053, Min=0.000012, Max=0.000061, Perc95=0.000019, Variance=-0.000037, StdDev=0.006051, ElementsSec=47185920.000000, GBytesSec=0.351562
numElements=1000, AvgDtime=0.000037, Min=0.000013, Max=0.000064, Perc95=0.000022, Variance=-0.000020, StdDev=0.004464, ElementsSec=45590260.869565, GBytesSec=0.339674
numElements=1100, AvgDtime=0.000053, Min=0.000016, Max=0.000065, Perc95=0.000024, Variance=-0.000034, StdDev=0.005865, ElementsSec=46137344.000000, GBytesSec=0.343750
numElements=1200, AvgDtime=0.000029, Min=0.000017, Max=0.000029, Perc95=0.000025, Variance=-0.000009, StdDev=0.002939, ElementsSec=47934902.857143, GBytesSec=0.357143
numElements=1300, AvgDtime=0.000054, Min=0.000017, Max=0.000069, Perc95=0.000028, Variance=-0.000032, StdDev=0.005697, ElementsSec=46603377.777778, GBytesSec=0.347222
